id,area,violation_type,date,hour,day_of_week,month,severity,lat,lon
VLT100000,Karnataka,Overloading,2023-01-01 00:00:00,23,Sunday,January,2,15.330996168732145,75.72759616873213
VLT100001,Punjab,Driving Without License,2023-01-02 00:00:00,0,Monday,January,3,31.124078671376385,75.31817867137639
VLT100002,Maharashtra,Using Mobile Phone,2023-01-03 00:00:00,4,Tuesday,January,2,19.70559735239362,75.66799735239361
VLT100003,Uttar Pradesh,No Seatbelt,2023-01-04 00:00:00,15,Wednesday,January,2,26.798352763552852,80.89785276355286
VLT100004,Karnataka,Over-speeding,2023-01-05 00:00:00,6,Thursday,January,3,15.348627023920027,75.74522702392002
VLT100005,Maharashtra,Over-speeding,2023-01-06 00:00:00,16,Friday,January,3,19.792775557727772,75.75517555772777
VLT100006,West Bengal,Wrong Parking,2023-01-07 00:00:00,2,Saturday,January,1,22.997463577576717,87.86566357757673
VLT100007,Delhi,Over-speeding,2023-01-08 00:00:00,16,Sunday,January,3,28.636849656098402,77.23194965609841
VLT100008,Uttar Pradesh,No Seatbelt,2023-01-09 00:00:00,18,Monday,January,2,26.85106249914654,80.95056249914654
VLT100009,West Bengal,Using Mobile Phone,2023-01-10 00:00:00,17,Tuesday,January,2,23.030307242378775,87.89850724237878
VLT100010,Tamil Nadu,Using Mobile Phone,2023-01-11 00:00:00,5,Wednesday,January,2,11.158685355412153,78.68848535541214
VLT100011,West Bengal,Overloading,2023-01-12 00:00:00,9,Thursday,January,2,22.937073850017015,87.80527385001702
VLT100012,Maharashtra,No Helmet,2023-01-13 00:00:00,3,Friday,January,2,19.787240427658755,75.74964042765875
VLT100013,Delhi,Signal Jumping,2023-01-14 00:00:00,21,Saturday,January,3,28.567258557530547,77.16235855753055
VLT100014,Gujarat,No Seatbelt,2023-01-15 00:00:00,20,Sunday,January,2,22.281665544642994,71.215365544643
VLT100015,West Bengal,No Seatbelt,2023-01-16 00:00:00,18,Monday,January,2,22.954365562060254,87.82256556206026
VLT100016,Punjab,No Seatbelt,2023-01-17 00:00:00,1,Tuesday,January,2,31.18341789223499,75.37751789223499
VLT100017,Tamil Nadu,No Helmet,2023-01-18 00:00:00,1,Wednesday,January,2,11.13124612202491,78.6610461220249
VLT100018,Punjab,Using Mobile Phone,2023-01-19 00:00:00,7,Thursday,January,2,31.127071189053737,75.32117118905374
VLT100019,Karnataka,Signal Jumping,2023-01-20 00:00:00,17,Friday,January,3,15.309568722119765,75.70616872211976
VLT100020,Gujarat,Wrong Parking,2023-01-21 00:00:00,9,Saturday,January,1,22.211531967114546,71.14523196711455
VLT100021,Punjab,Drunk Driving,2023-01-22 00:00:00,17,Sunday,January,3,31.109528327649954,75.30362832764996
VLT100022,Tamil Nadu,Signal Jumping,2023-01-23 00:00:00,23,Monday,January,3,11.144162441469364,78.67396244146936
VLT100023,Punjab,No Helmet,2023-01-24 00:00:00,21,Tuesday,January,2,31.16181895115742,75.35591895115742
VLT100024,Delhi,Signal Jumping,2023-01-25 00:00:00,15,Wednesday,January,3,28.625438511148126,77.22053851114813
VLT100025,Uttar Pradesh,Overloading,2023-01-26 00:00:00,18,Thursday,January,2,26.835067755426188,80.93456775542619
VLT100026,Karnataka,Drunk Driving,2023-01-27 00:00:00,18,Friday,January,3,15.36702099357892,75.76362099357891
VLT100027,Delhi,Over-speeding,2023-01-28 00:00:00,21,Saturday,January,3,28.661983533877624,77.25708353387762
VLT100028,Delhi,Drunk Driving,2023-01-29 00:00:00,14,Sunday,January,3,28.63245419844807,77.22755419844808
VLT100029,Maharashtra,Using Mobile Phone,2023-01-30 00:00:00,0,Monday,January,2,19.766545927626783,75.72894592762678
VLT100030,Uttar Pradesh,No Helmet,2023-01-31 00:00:00,7,Tuesday,January,2,26.86554467305709,80.9650446730571
VLT100031,Delhi,Using Mobile Phone,2023-02-01 00:00:00,15,Wednesday,February,2,28.602792142397913,77.19789214239792
VLT100032,Uttar Pradesh,No Helmet,2023-02-02 00:00:00,10,Thursday,February,2,26.81020965050224,80.90970965050225
VLT100033,Punjab,Signal Jumping,2023-02-03 00:00:00,9,Friday,February,3,31.169248834019406,75.3633488340194
VLT100034,Karnataka,No Seatbelt,2023-02-04 00:00:00,4,Saturday,February,2,15.319835432247572,75.71643543224756
VLT100035,Delhi,No Helmet,2023-02-05 00:00:00,12,Sunday,February,2,28.594924187555897,77.19002418755589
VLT100036,Tamil Nadu,Drunk Driving,2023-02-06 00:00:00,4,Monday,February,3,11.12568353588318,78.65548353588318
VLT100037,Karnataka,Signal Jumping,2023-02-07 00:00:00,23,Tuesday,February,3,15.3562487834349,75.7528487834349
VLT100038,Gujarat,Driving Without License,2023-02-08 00:00:00,4,Wednesday,February,3,22.302104351595627,71.23580435159563
VLT100039,Karnataka,Drunk Driving,2023-02-09 00:00:00,2,Thursday,February,3,15.303079519670906,75.69967951967091
VLT100040,Karnataka,Signal Jumping,2023-02-10 00:00:00,7,Friday,February,3,15.324452983072975,75.72105298307297
VLT100041,Delhi,Driving Without License,2023-02-11 00:00:00,4,Saturday,February,3,28.596086939107597,77.1911869391076
VLT100042,Uttar Pradesh,Signal Jumping,2023-02-12 00:00:00,16,Sunday,February,3,26.856130003019967,80.95563000301998
VLT100043,West Bengal,Overloading,2023-02-13 00:00:00,12,Monday,February,2,22.97059112255071,87.83879112255072
